premise,hypothesis,label
The City Council plan would increase by nearly 50 percent - to $80.,The City Council will raise taxes 50%.,1
"It was originally planned to travel farther west to Commerce, but this plan was cancelled in 1941.","It was originally planned to travel farther west to Commerce, but this plan was cancelled in 1942.",0
"Rebuilt in modern times, the mosque serves the small local community of Muslims.",The mosque was torn down and rebuilt 500 years ago.,0
"'J, it's late, I'm tired, and you're talking nonsense.",J rambled incoherently despite my issues with working this late.,1
The church also boasts one of Italy's most delightful fresco cycles.,The church has the worst fresco cycles.,0
To the east of the palace are the Eglise Saint-Etienne and arresting Eglise Saint-Michel.,There are also interesting things to the west of the palace.,1
my problem i guess is time you know i i talk to my husband we kind of planning for the time eventually when you know maybe i can quit work while my kids because i my kids are young i have a three and a half and a two year old,I am thinking of quitting work to take care of our children.,1
"Bihar, Bengal, and Rajputana all went their separate ways.","Bihar, Bengal and kajputana continued to work together. ",0
"A decrease in the number of poor people in Ohio means there will be $2 million less in federal legal-aid money for the state next year, officials said yesterday.",Federal legal-aid in a right of all people.,0
"The 1992-93 famine lacked the central direction of a genocide, and its victims were not murdered on the basis of race, ethnicity, nationality, or religion.",The 1992-93 famine occurred because of a lack of rainfall.,1
"I saw that a faint streak of daylight was showing through the curtains of the windows, and that the clock on the mantelpiece pointed to close upon five o'clock. ",I saw that it was still the middle of the night.,0
I was about to say that studies showed no connection.,"The studies don't relate to what you said, but someone else mentioned that before me.",1
"Zion Elementary School District 6's sole middle school, Zion Central Middle School, serves the seventh and eighth grades.","Zion Elementary School District 6's sole middle school, Zion Central Middle School, serves the first and eighth grades.",0
"With the addition of Hornacek, the Jazz went on to win ten consecutive games between March.","With the addition of Hornacek, the Jazz went on to win ten consecutive games between February and March.",0
Congress changed the qualifications for In-county rates in 1986.,Congress wanted it to be easier to get an in-county rate.,1
Several studies have documented consumption changes not only in the intervention condition but also in the minimal intervention control groups.,Studies documented no changes in the minimal intervention groups.,0
"At 9:03 a.m., the second terrorist- piloted plane of the day screamed overhead, then slammed into the south tower of the World Trade Center.",The first plane hit the north tower at 9:03 that evening. ,0
"If you file a paper tax return, the odds are better than one in 10 that you will be told you are wrong when you are right, Newt Gingrich warned in a speech playing off the hearings.",Filing a paper tax return is harder according to Newt Gingrich.,1
"Look here, you've been asking me a lot of questions.","Look here, you have barely asked me any question.",0
Nor was a common start or end point identified for design review as an element of the facility acquisition process.,A common start or end point was identified.,0
"The N-332 now strikes inland for 32 km (19 miles) to the small town of Cuevas de Almanzora, in a hilly region once inhabited by Stone Age man.",The town is a popular destination for historians.,1
"The beer garden, to the northeast of the downtown area, is a lusty place to sample the town's frontier spirit.",The bear garden is the most freauented attraction.,1
"Land not acquired for or in connection with22 items of general PP and E, that is, stewardship land, shall be reported as required supplementary stewardship information accompanying the financial statements of the Federal Government and the separate reports of component units of the Federal Government responsible for such land.",Land acquired in connection with 200 items of general PE and LB and C is stewardship land.,0
"Instead, they maneuver and feint, applying the strength of their will (ki) rather than physical strength to overcome the other.",They seek to overcome the other using pure physical strength.,0
uh this is going to be i've seen a lot of video lot of lot of video VCR stuff um,There is a lot of video showing the animals.,1
"She conflates belligerence, divisiveness, polarization, titillation, jealousy, incivility, aloofness, ruthlessness, cruelty, savagery, contempt, glibness, cynicism, anomie, partisanship, obstructionism, and gridlock.",She acts the way she does out of necessity and fear. ,1
Cognizant is listed in the NASDAQ-100 and the S&P 500 indices.,Cognizant is listed in the NASDAQ-100 and the S&P 500 indices.,1
The Furushoin pavilion's verandah is the perfect place for viewing the full moon.,The Furushoin construction has only one floor and no balconies or verandahs.,0
"A young girl sitting on a white comforter on a bed covered with clothing, holding a yellow stuffed duck.",A yellow duck being held by a girl.,1
"He kept his hand in the pocket of his coat, but his manner was urbane to the last degree.","He kept his hand out of the pocket, but his manner was not urbane at all.",0
is whether Tyler should be played by Val Kilmer or Brad Pitt.,Tyler will be played by Val Kilmer.,0
A fresh access of pain seized the unfortunate old lady. ,"The lady lay calmly, with no signs of pain on her face.",0
It's often interesting to wonder who brings the need for a correction to a paper's attention and why.,No one knows who asks for a correction to the paper.,1
you know and he he was talking about that he was talking about nobody went broke over paying thirty percent,He talked about how everybody who paid 30 percent eventually went broke.,0
Free Fiction,There is no free fiction.,0
"Like Bork, I think a man has to fight against his fate, no matter how little chance he has.",I think a man should surrender to his fate.,0
"In that very moment, while staring at his reflection he found in his eyes that mad look he had last seen thirty years ago in a photograph taken at a tethered flying model competition.",He had seen a photograph of himself taken at a flying model competition.,1
"In its Notice of Proposed Rulemaking, the Commission specifically stated that the proposed regulation would affect a number of entities both large and small.","In its public notice, the state commission stated that the regulation affected multiple entities of varying sizes.",1
"Unlike the wildlife of the African plain, most of the animals of the Malaysian jungle are not very conspicuous.",The animals of the Malaysian Jungle are obvious and seen often.,0
